Trip1,Trip2,Close,PhaseA,PhaseB,PhaseC,Contact
-41,139,58,299,17866,-36,1
-51,125,29,297,16231,-53,1
-63,110,4,304,14526,-88,1
-65,93,-20,315,12805,-124,1
-45,81,-37,321,11028,-148,1
-24,72,-54,320,9227,-165,1
-6,71,-65,315,7409,-175,1
4,69,-69,311,5560,-183,1
15,71,-69,308,3699,-199,1
19,71,-68,306,1831,-217,1
17,70,-56,300,-38,-236,1
10,60,-39,295,-1889,-249,1
-1,44,-21,292,-3706,-262,1
-15,26,-12,282,-5486,-269,1
-31,18,-6,275,-7237,-281,1
-41,12,-5,267,-8960,-298,1
-39,7,-8,265,-10656,-316,1
-32,1,-15,270,-12319,-333,1
-23,-2,-26,280,-13971,-346,1
-15,-1,-33,284,-15572,-338,1
-6,6,-31,276,-17172,-320,1
2,17,-18,253,-18698,-296,1
10,32,-12,223,-20215,-281,1
14,46,-11,196,-21672,-282,1
17,57,-13,180,-23075,-298,1
20,60,-20,169,-24467,-315,1
23,62,-30,160,-25770,-328,1
25,62,-36,143,-27038,-329,1
29,54,-36,124,-28228,-322,1
34,46,-30,107,-29384,-312,1
44,34,-23,91,-30453,-304,1
50,23,-14,78,-31439,-298,1
51,12,-5,65,-32368,-297,1
50,4,0,47,-32768,-300,1
50,-4,3,31,-32768,-304,1
45,-7,4,6,-32768,-304,1
33,-6,8,-15,-32768,-294,1
22,-1,10,-36,-32768,-280,1
17,6,13,-55,-32768,-266,1
18,10,16,-63,-32768,-242,1
27,11,17,-93,-32768,-254,1
38,10,16,-127,-32768,-279,1
48,5,18,-140,-32768,-294,1
57,0,15,-147,-32768,-295,1
64,-5,5,-148,-32768,-270,1
67,-5,-2,-151,-32768,-242,1
67,0,-9,-153,-32768,-213,1
61,12,-10,-163,-32768,-195,1
49,27,-12,-179,-32768,-172,1
33,44,-9,-201,-32768,-152,1
8,62,2,-212,-32768,-117,1
-27,85,15,-216,-32768,-78,1
-66,105,24,-203,-32768,-33,1
-44,124,29,-193,-32065,-5,1
-18,138,36,-191,-31098,12,1
-6,142,46,-208,-30055,19,1
-9,145,54,-238,-28924,14,1
-17,146,62,-282,-27721,3,1
-33,145,70,-327,-26481,-5,1
-46,141,79,-377,-25192,-17,1
-60,129,87,-414,-23828,-17,1
-67,121,94,-422,-22413,-6,1
-52,116,96,-398,-20968,13,1
-38,112,92,-343,-19445,53,1
-34,113,87,-281,-17876,96,1
-35,116,82,-235,-16228,144,1
-37,118,76,-223,-14540,176,1
-39,119,68,-245,-12815,187,1
-38,113,60,-288,-11024,178,1
-31,104,44,-338,-9210,157,1
-27,90,26,-378,-7358,139,1
-28,76,4,-396,-5497,136,1
-29,60,-16,-389,-3629,145,1
-32,36,-31,-361,-1763,170,1
-37,17,-40,-322,77,208,1
-49,5,-41,-281,1900,256,1
-61,-5,-38,-255,3690,307,1
-65,-13,-33,-238,5455,344,1
-48,-27,-35,-236,7187,359,1
-34,-41,-39,-247,8909,353,1
-24,-49,-39,-271,10602,332,1
-18,-42,-41,-299,12265,311,1
-23,-33,-50,-321,13916,297,1
-26,-21,-59,-325,15527,294,1
-37,-12,-65,-307,17121,296,1
-52,-5,-66,-272,18664,297,1
-69,0,-66,-226,20141,298,1
-46,5,-66,-190,21590,308,1
-21,8,-63,-168,22961,321,1
0,8,-60,-160,24328,333,1
14,8,-59,-154,25604,345,1
26,8,-54,-149,26868,350,1
38,14,-51,-137,28049,348,1
44,18,-44,-116,29147,339,1
40,20,-44,-85,30270,327,1
39,19,-44,-53,31233,323,1
40,19,-45,-29,32220,325,1
44,27,-45,-18,32767,329,1
48,35,-48,-21,32767,330,1
53,41,-48,-26,32767,319,1
61,45,-47,-17,32767,298,1
70,41,-46,9,32767,274,1
80,34,-42,46,32767,261,1
88,27,-40,81,32767,267,1
90,14,-37,98,32767,291,1
83,3,-35,100,32767,317,1
69,-3,-35,100,32767,326,1
51,-13,-27,112,32767,312,1
28,-21,-17,127,32767,275,1
5,-37,-5,145,32767,228,1
-10,-45,1,148,32767,188,1
-15,-40,3,143,32767,156,1
-4,-39,4,137,32767,136,1
14,-43,9,145,32767,127,1
40,-45,20,172,32767,122,1
73,-28,25,214,32767,118,1
117,-10,22,256,32767,115,1
163,14,16,281,31922,112,1
209,39,8,291,30952,104,1
261,68,-1,283,29950,90,1
309,101,-11,277,28867,64,1
358,136,-29,280,27702,27,1
401,168,-45,292,26479,-11,1
432,197,-63,318,25216,-49,1
463,220,-64,339,23842,-75,1
491,243,-54,347,22437,-76,1
523,271,-49,340,20928,-60,1
560,297,-55,322,19391,-36,1
605,319,-57,304,17789,-27,1
656,342,-59,296,16142,-44,1
716,368,-62,298,14444,-79,1
776,398,-57,306,12703,-121,1
835,433,-45,312,10937,-155,1
890,468,-29,315,9130,-174,1
939,505,-19,319,7307,-180,1
982,545,-14,322,5466,-181,1
1019,593,-18,320,3613,-186,1
1051,644,-26,311,1746,-201,1
